,BreedName,Group1,Group2,MaleWtKg,Temperment,AvgPupPrice,Intelligence,Watchdog
80,Welsh Corgi,Herding,Herding,13.0,"Active, Affectionate, Alert, Companionable, Devoted, Gentle, Intelligent",1100.0,26.0,4.0
81,Cardigan,Herding,Herding,16.0,"Active, Affectionate, Alert, Companionable, Devoted, Gentle, Intelligent",1100.0,26.0,4.0
82,Pembroke,Herding,Herding,12.0,"Active, Affectionate, Alert, Companionable, Devoted, Gentle, Intelligent",1100.0,26.0,4.0
83,Cairn Terrier,Terrier,Terrier,7.0,"Active, Assertive, Courageous, Fearless, Hardy, Intelligent",850.0,35.0,4.0
84,Old English Sheepdog,Herding,Herding,39.0,"Adaptable, Bubbly, Intelligent, Loving, Playful, Sociable, Protective",1350.0,63.0,4.0
85,Sheep Dog,Herding,Herding,39.0,"Adaptable, Bubbly, Intelligent, Loving, Playful, Sociable, Protective",1350.0,63.0,4.0
86,Miniature Pinscher,Toy,Companion,5.0,"Clever, Energetic, Friendly, Outgoing, Playful, Responsive, Intelligent",500.0,37.0,3.0
87,Irish Setter,Sporting,Gun,32.0,"Affectionate, Companionable, Energetic, Independent, Lively, Playful, Intelligent",900.0,35.0,3.0
88,Irish Wolfhound,Hound,Scenthound,55.0,"Dignified, Generous, Loyal, Patient, Sweet-tempered, Thoughtful, Intelligent",1900.0,41.0,3.0
89,Italian Greyhound,Toy,Companion,4.0,"Affectionate, Agile, Athletic, Companionable, Intelligent, Mischevious",900.0,60.0,3.0
90,Greater Swiss Mountain Dog,Working,Guardian,60.0,"Alert, Devoted, Fearless, Good-natured, Protective, Self-confident",2250.0,,5.0
91,Chow Chow,Non Sporting,Northern,26.0,"Aloof, Independent, Loyal, Quiet, Intelligent, Protective, Detached",700.0,76.0,3.0
92,Lhasa Apso,Non Sporting,Companion,6.0,"Alert, Assertive, Devoted, Friendly, Intelligent, Lively, Obedient, Playful, Spirited, Steady",600.0,68.0,3.0
93,Jack Russell Terrier,Terrier,Terrier,7.0,"Alert, Cheerful, Courageous, Energetic, Independent",850.0,,4.0
94,Chinese Crested Dog,Toy,Companion,4.0,"Affectionate, Alert, Happy, Lively, Playful, Sweet-tempered",900.0,61.0,2.0
95,Giant Schnauzer (Companion),Working,Companion,38.0,"Dominant, Intelligent, Kind, Loyal, Powerful, Strong-willed",1250.0,28.0,6.0
96,Giant Schnauzer (Herding),Working,Herding,31.0,"Devoted, Good-natured, Intelligent, Lively, Playful, Trainable",1250.0,,
97,Coton de Tulear,Non Sporting,Companion,6.0,"Affectionate, Intelligent, Lively, Playful, Trainable, Vocal",2700.0,,3.0
98,Staffordshire Bull Terrier,Terrier,Terrier,14.0,"Affectionate, Bold, Courageous, Fearless, Intelligent, Reliable",1750.0,49.0,3.0
99,American Staffordshire Terrier,Terrier,Terrier,28.0,"Attentive, Courageous, Devoted, Friendly, Loyal, Tenacious, Intelligent",900.0,34.0,3.0
100,Basenji,Hound,Sight,11.0,"Affectionate, Alert, Curious, Energetic, Playful, Intelligent",1100.0,78.0,5.0
101,Bouvier des Flanders,Herding,Herding,42.0,"Familial, Gentle, Intelligent, Loyal, Protective, Rational",1750.0,29.0,5.0
102,Anatolian Shepherd,Working,Guardian,52.0,"Bold, Confident, Independent, Intelligent, Proud, Steady",800.0,,6.0
103,Keeshond,Non Sporting,Northern,18.0,"Agile, Bright, Obedient, Playful, Quick, Sturdy, Intelligent",900.0,16.0,4.0
104,Pekingese,Toy,Companion,4.0,"Affectionate, Aggressive, Good-natured, Intelligent, Opinionated, Stubborn",700.0,73.0,3.0
105,Nova Scotia Duck-Tolling Retriever,Sporting,Gun Dogs,20.0,"Affectionate, Alert, Courageous, Energetic, Gentle, Playful, Responsive",1900.0,,5.0
106,Schnauzer,Working,Herding,17.0,"Devoted, Good-natured, Intelligent, Lively, Playful, Trainable",1350.0,18.0,4.0
107,Norwegian Elkhound,Hound,Northern,26.0,"Alert, Bold, Hardy, Loyal, Playful, Strong-willed, Intelligent",600.0,36.0,6.0
108,Border Terrier,Terrier,Terrier,7.0,"Affectionate, Alert, Even-tempered, Fearless, Intelligent, Obedient",1300.0,30.0,4.0
